"ID","city","PeriodEnd","year","Units_TaxInd","Units_TaxedFam","Units_NotTaxInd","Units_NotTaxedFam","ind.SS","ind.AS","family.SS","family.AS","IncomePerHousehold","MaleProportion","AsianProportion","HispanicProportion","BlackProportion","cm"
"1",2,"Philadelphia","01/31/2016",2016,9829.63977757002,23660.8567032801,12015,27569,11.9999531631994,5.24808518475651,6.11839230681355,1.05687965987291,0.270643365618517,0.500579662139781,0.130948437672518,0.100861212321961,0.125289831069891,4
"2",2,"Philadelphia","02/28/2016",2016,12350.8340730517,24711.9786980542,11723,26854,11.9999531631994,5.24808518475651,6.11839230681355,1.05687965987291,0.270643365618517,0.500579662139781,0.130948437672518,0.100861212321961,0.125289831069891,4
"3",2,"Philadelphia","03/27/2016",2016,11907.1223811559,27865.0495451483,11481,27928,11.9999531631994,5.24808518475651,6.11839230681355,1.05687965987291,0.270643365618517,0.500579662139781,0.130948437672518,0.100861212321961,0.125289831069891,4
"4",2,"Philadelphia","04/24/2016",2016,12181.9533870408,24425.0261154805,11989,26439,11.9999531631994,5.24808518475651,6.11839230681355,1.05687965987291,0.270643365618517,0.500579662139781,0.130948437672518,0.100861212321961,0.125289831069891,4
"5",2,"Philadelphia","05/22/2016",2016,12834.7848735787,27355.2571884583,14817,26963,11.9999531631994,5.24808518475651,6.11839230681355,1.05687965987291,0.270643365618517,0.500579662139781,0.130948437672518,0.100861212321961,0.125289831069891,4
"6",2,"Philadelphia","06/19/2016",2016,16816.1844969323,27674.0294753504,12528,27082.1,11.9999531631994,5.24808518475651,6.11839230681355,1.05687965987291,0.270643365618517,0.500579662139781,0.130948437672518,0.100861212321961,0.125289831069891,4
"7",2,"Philadelphia","07/17/2016",2016,16785.3072067772,29721.4441923254,13814,27390.65,11.9999531631994,5.24808518475651,6.11839230681355,1.05687965987291,0.270643365618517,0.500579662139781,0.130948437672518,0.100861212321961,0.125289831069891,4
"8",2,"Philadelphia","08/14/2016",2016,18742.6615330985,26108.7247930141,12907,28209.5,11.9999531631994,5.24808518475651,6.11839230681355,1.05687965987291,0.270643365618517,0.500579662139781,0.130948437672518,0.100861212321961,0.125289831069891,4
"9",2,"Philadelphia","09/11/2016",2016,16948.8255701147,29867.6945932618,15895,30567.28,11.9999531631994,5.24808518475651,6.11839230681355,1.05687965987291,0.270643365618517,0.500579662139781,0.130948437672518,0.100861212321961,0.125289831069891,4
"10",2,"Philadelphia","10/09/2016",2016,13581.2245895559,23301.0123716869,13526,28387.5,11.9999531631994,5.24808518475651,6.11839230681355,1.05687965987291,0.270643365618517,0.500579662139781,0.130948437672518,0.100861212321961,0.125289831069891,4
